filename,left_x,left_y,right_x,right_y
frame_0_00_00.jpg,548,217,652,213
frame_0_00_00_033333.jpg,546,214,652,211
frame_0_00_00_066667.jpg,546,214,652,211
frame_0_00_00_100000.jpg,546,212,651,210
frame_0_00_00_133333.jpg,543,211,650,208
frame_0_00_00_166667.jpg,544,210,650,207
frame_0_00_00_200000.jpg,542,208,650,204
frame_0_00_00_233333.jpg,540,206,648,202
frame_0_00_00_266667.jpg,541,207,648,204
frame_0_00_00_300000.jpg,541,206,648,202
frame_0_00_00_666667.jpg,523,194,630,183
frame_0_00_00_700000.jpg,520,196,628,183
frame_0_00_00_733333.jpg,522,195,628,183
frame_0_00_00_766667.jpg,522,195,628,183
frame_0_00_00_800000.jpg,520,198,630,184
frame_0_00_00_833333.jpg,524,196,631,187
frame_0_00_00_866667.jpg,525,198,633,188
frame_0_00_00_900000.jpg,529,198,634,188
frame_0_00_00_933333.jpg,529,198,634,188
frame_0_00_00_966667.jpg,531,198,638,188
frame_0_00_01.jpg,536,198,643,189
frame_0_00_01_033333.jpg,538,196,645,188
frame_0_00_01_066667.jpg,541,196,648,189
frame_0_00_01_100000.jpg,541,196,648,189
frame_0_00_01_133333.jpg,547,194,654,187
frame_0_00_01_166667.jpg,548,193,655,187
frame_0_00_01_200000.jpg,552,192,657,187
frame_0_00_01_233333.jpg,552,193,658,187
frame_0_00_01_266667.jpg,554,192,660,187
frame_0_00_01_300000.jpg,559,193,664,186
frame_0_00_01_333333.jpg,560,190,668,187
frame_0_00_01_366667.jpg,560,192,667,188
frame_0_00_01_400000.jpg,561,192,669,187
frame_0_00_01_433333.jpg,565,190,672,186
frame_0_00_01_466667.jpg,566,189,673,183
frame_0_00_01_500000.jpg,566,190,674,186
frame_0_00_01_533333.jpg,565,189,674,186
frame_0_00_01_566667.jpg,564,192,673,187
frame_0_00_01_600000.jpg,565,192,673,188
frame_0_00_01_633333.jpg,565,193,672,189
frame_0_00_01_666667.jpg,565,193,672,190
frame_0_00_01_866667.jpg,550,198,655,190
frame_0_00_01_900000.jpg,549,196,655,190
frame_0_00_01_933333.jpg,548,199,655,192
frame_0_00_01_966667.jpg,546,200,650,193
frame_0_00_02.jpg,546,200,651,194
frame_0_00_02_033333.jpg,544,201,648,193
frame_0_00_02_066667.jpg,544,201,649,194
frame_0_00_02_100000.jpg,542,201,646,193
frame_0_00_02_133333.jpg,540,200,644,192
frame_0_00_02_166667.jpg,541,200,644,193
frame_0_00_02_200000.jpg,540,199,643,192
frame_0_00_02_233333.jpg,538,198,639,188
frame_0_00_02_266667.jpg,536,196,638,187
frame_0_00_02_300000.jpg,535,194,636,184
frame_0_00_02_333333.jpg,534,192,633,184
frame_0_00_02_366667.jpg,531,193,632,183
frame_0_00_02_400000.jpg,528,192,630,183
frame_0_00_02_700000.jpg,508,195,606,184
frame_0_00_03_633333.jpg,555,186,654,183
frame_0_00_03_666667.jpg,555,186,654,183
frame_0_00_03_700000.jpg,555,186,656,183
frame_0_00_03_733333.jpg,555,186,656,183
frame_0_00_04_033333.jpg,604,189,712,202
frame_0_00_04_066667.jpg,608,190,716,202
frame_0_00_04_100000.jpg,613,192,720,205
frame_0_00_04_133333.jpg,615,192,722,206
frame_0_00_04_166667.jpg,616,193,722,207
frame_0_00_04_200000.jpg,616,194,723,207
frame_0_00_04_233333.jpg,619,194,723,210
frame_0_00_04_266667.jpg,620,195,726,210
frame_0_00_04_500000.jpg,619,204,723,220
frame_0_00_04_533333.jpg,618,205,723,222
frame_0_00_04_566667.jpg,618,206,722,223
frame_0_00_04_600000.jpg,616,208,721,224
frame_0_00_04_633333.jpg,618,210,721,224
frame_0_00_04_666667.jpg,616,211,718,225
frame_0_00_04_700000.jpg,614,211,720,226
frame_0_00_04_733333.jpg,614,210,718,225
frame_0_00_04_766667.jpg,614,211,716,226
frame_0_00_04_800000.jpg,609,212,711,226
frame_0_00_04_833333.jpg,618,150,727,147
frame_0_00_04_866667.jpg,615,150,726,150
frame_0_00_04_900000.jpg,616,150,726,150
frame_0_00_04_933333.jpg,612,157,721,156
frame_0_00_04_966667.jpg,608,160,717,158
frame_0_00_05.jpg,608,158,717,157
frame_0_00_05_033333.jpg,606,160,717,159
frame_0_00_05_066667.jpg,603,163,715,162
frame_0_00_05_100000.jpg,602,162,715,160
frame_0_00_05_133333.jpg,602,164,715,163
frame_0_00_05_166667.jpg,602,163,714,162
frame_0_00_05_200000.jpg,602,163,714,162
frame_0_00_05_233333.jpg,602,164,714,163
frame_0_00_05_266667.jpg,601,164,715,165
frame_0_00_05_300000.jpg,602,164,714,164
frame_0_00_05_333333.jpg,601,166,715,165
frame_0_00_05_366667.jpg,601,165,715,164
frame_0_00_05_400000.jpg,601,165,714,164
frame_0_00_05_433333.jpg,603,165,715,164
frame_0_00_05_466667.jpg,601,165,715,165
frame_0_00_07_366667.jpg,594,177,706,177
frame_0_00_07_566667.jpg,564,169,675,168
frame_0_00_07_600000.jpg,561,166,673,168
frame_0_00_07_633333.jpg,560,169,672,168
frame_0_00_07_666667.jpg,558,170,670,168
frame_0_00_07_700000.jpg,556,169,667,166
frame_0_00_07_733333.jpg,553,168,664,165
frame_0_00_07_766667.jpg,554,168,662,164
frame_0_00_07_800000.jpg,550,166,660,163
frame_0_00_07_833333.jpg,550,166,661,163
frame_0_00_07_866667.jpg,548,168,657,162
frame_0_00_07_900000.jpg,547,168,655,163
